,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
0,1,Green,0.008999244200000003,0.022302437184901266,1,410.75
1,2,Red,-0.0002622255000000002,0.007873989196990954,2,405.2
2,3,Green,0.004840808,0.011336184306600118,3,416.6
3,4,Red,0.0021876698000000004,0.005362595156898287,4,404.08
4,5,Green,-0.0034439562000000016,0.02669089139239287,1,413.36
5,6,Green,0.0045285206,0.006105346221216274,2,427.61
6,7,Red,-0.0013497687500000004,0.01038523353749003,3,420.9
7,8,Red,-0.0028934594000000003,0.003729976740189869,4,416.09
8,9,Red,-0.0027611415999999997,0.009561924054087245,1,407.75
9,10,Red,-0.0046840136,0.002472019149188663,2,402.58
10,11,Green,0.006980931,0.015994747286548944,3,414.02
11,12,Green,0.0136881074,0.011478525643114218,4,445.52
12,13,Green,0.0028890982,0.008450709017062708,1,447.34
13,14,Green,0.006786009222222221,0.008657539888315321,2,479.09
14,15,Red,0.0016108641999999997,0.014576467001582398,3,474.47
15,16,Green,-0.003912034,0.014402115571994289,4,475.3
16,17,Green,0.006775428799999999,0.00918040178678442,1,489.33
17,18,Red,-0.0014172822000000002,0.01631111138128361,2,484.99
18,19,Red,-0.0013492816000000001,0.008548123780982646,3,480.15
19,20,Red,0.0011794655,0.008222307952118021,4,478.07
20,21,Red,-0.010078624599999999,0.0047241533948478255,1,460.85
21,22,Red,-0.0017352152000000003,0.006305304817199987,2,451.09
22,23,Red,-0.0152294368,0.0313910723770403,3,415.28
23,24,Green,-0.0008014896000000003,0.0072858500438778345,4,416.1
24,25,Red,-0.00383844425,0.005019338429059221,1,413.89
25,26,Red,-0.0061486634000000005,0.013495214630288287,2,395.83
26,27,Red,-0.022871797600000004,0.01750684395340015,3,345.34
27,28,Green,-0.0032128194000000006,0.024515764347972802,4,350.5
28,29,Red,-0.002491228400000001,0.012866630534528061,1,344.56
29,30,Red,-0.0134197224,0.013444983970434367,2,326.41
30,31,Red,-0.0029132638,0.00849404642940874,3,311.24
31,32,Red,-0.010161910599999999,0.014974474690583448,4,308.79
32,33,Green,0.0096553398,0.009480073185257494,1,319.95
33,34,Red,0.0007264112499999989,0.02443959356835459,2,300.03
34,35,Green,-0.0038853060000000016,0.02606912556840237,3,313.09
35,36,Green,0.0019136514000000007,0.021165006049307582,4,314.31
36,37,Red,0.0021844158,0.012640581463387616,1,307.83
37,38,Red,-0.0037972529999999996,0.01657211708660391,2,307.64
38,39,Green,0.0025285266,0.01259221723516275,3,326.45
39,40,Red,0.0073674828,0.028250338774036918,4,324.76
40,41,Red,-0.02647314,0.060576947158948555,1,276.12
41,42,Red,-0.001225230599999999,0.02208146392158035,2,273.53
42,43,Green,-0.00316105,0.010094380807517617,3,279.45
43,44,Green,0.006304677400000002,0.010600739542662609,4,289.84
44,45,Red,-0.0020003342499999993,0.017199848538756224,1,279.31
45,46,Green,0.0163128526,0.028162333956851027,2,307.59
46,47,Green,0.006104617400000001,0.013671044456068858,3,315.9
47,48,Red,0.0003060036000000002,0.011836376058176194,4,312.12
48,49,Red,-0.0139953886,0.018219266376394972,1,295.23
49,50,Red,0.0020728652500000004,0.004519184315631438,2,289.03
50,51,Green,0.010648608,0.028085350931800267,3,313.79
51,52,Green,0.0117196426,0.006432503085352625,4,327.34
52,53,Green,0.009146868249999999,0.008127354209643086,1,343.87
53,54,Red,-0.0018984488000000001,0.020807487060750744,2,330.23
54,55,Red,-0.0116552932,0.017104877784442887,3,311.64
55,56,Red,-0.032214905599999996,0.04017245026601103,4,255.46
56,57,Green,0.017276576,0.06918994472149152,1,305.63
57,58,Green,0.023497372750000002,0.03278080743468349,2,315.82
58,59,Green,-0.0003149140000000009,0.014143456965098455,3,319.99
59,60,Green,0.0054736934,0.009247419009419972,4,322.16
60,61,Red,-0.0017812366000000007,0.010776671800796713,1,320.2
61,62,Green,0.011086177200000002,0.018327231966321224,2,322.3
62,63,Red,-0.0027206083333333347,0.023759387021557613,3,318.07
63,64,Green,-0.0014902364000000002,0.015411145153881404,4,318.36
64,65,Green,0.0082559646,0.017700152926593212,1,331.95
65,66,Green,0.0495869164,0.09823090856972996,2,427.35
66,67,Red,-0.0014227794000000002,0.008887146638891936,3,420.41
67,68,Green,0.0015599914000000003,0.005492039154198761,4,424.9
68,69,Green,0.007588354800000002,0.018668655500076868,1,431.95
69,70,Red,-0.0023326927999999998,0.007313291270215877,2,428.96
70,71,Green,-0.00182121275,0.010819439474334204,3,438.62
71,72,Green,0.008355264,0.012539837051698878,4,453.38
72,73,Green,0.0054921428000000005,0.01583795742761743,1,462.01
73,74,Green,0.0012075909999999998,0.007615663379052491,2,469.94
74,75,Red,-0.015032156600000002,0.03022631239980868,3,431.37
75,76,Green,0.01133543625,0.010438882272074375,4,451.04
76,77,Green,0.004998516999999999,0.01566587552681662,1,457.21
77,78,Red,-0.0018312903999999999,0.005294870527361084,2,451.19
78,79,Green,-0.0035212808000000006,0.010265791493759854,3,472.3
79,80,Red,0.007030417999999999,0.04457871874584691,4,463.27
80,81,Green,0.011633882199999999,0.009638943657832478,1,485.47
81,82,Green,0.0067186942,0.035833835067498154,2,510.44
82,83,Green,0.006069054000000001,0.008851209767718195,3,520.71
83,84,Red,-0.013330962399999998,0.01843321469869373,4,475.18
84,85,Green,-0.0014728272500000004,0.009886465426769023,1,482.03
85,86,Green,0.006137267,0.006640784247796853,2,491.56
86,87,Red,-0.006428901200000001,0.009146267809697493,3,467.37
87,88,Red,-0.006141526400000001,0.010749872374895279,4,454.52
88,89,Red,-0.007516693200000001,0.01884833640539361,1,449.36
89,90,Red,-0.0061919782,0.011533970242744974,2,435.71
90,91,Red,-0.0009930262000000002,0.006775177232594743,3,428.54
91,92,Green,-0.003338883,0.025242784808792065,4,438.38
92,93,Green,0.0221747688,0.01851328107620083,1,476.39
93,94,Green,0.0024301766,0.00870144513986137,2,490.76
94,95,Red,-0.0024130484,0.014803727800966629,3,472.76
95,96,Red,-0.0004600940000000003,0.013513997217058375,4,471.42
96,97,Green,0.0049310147999999995,0.01911654083776863,1,473.21
97,98,Red,-0.006545847499999999,0.01066858530231456,2,467.43
98,99,Red,0.0012186000000000002,0.008276798456722237,3,457.83
99,100,Red,-0.0322846352,0.01986735020501846,4,394.42
100,101,Green,0.008922440999999998,0.029724570980740623,1,424.19
101,102,Green,0.014786775499999998,0.013990435965203952,2,455.0
102,103,Green,0.030283319999999996,0.020959194989878117,3,506.95
103,104,Green,0.0032071112,0.012022025894205757,4,513.24
104,105,Green,0.007580947000000001,0.01181423401391108,1,543.37
105,106,Red,-0.0013350513999999998,0.01313505155094506,2,527.2
106,107,Green,0.0213624972,0.046120183817427045,3,582.77
107,108,Green,0.006435455599999999,0.01726974350494979,4,605.89
108,109,Red,-0.0013236202500000003,0.006184611380380636,1,600.22
109,110,Green,0.0021229592,0.006746189338994641,2,611.63
110,111,Green,0.0006835987999999997,0.007230983420525965,3,616.44
111,112,Green,0.010581980800000002,0.0071399913414146214,4,639.0
112,113,Green,0.008649605400000001,0.011218802971366931,1,671.46
113,114,Green,0.009401392599999999,0.005598652294552344,2,710.31
114,115,Red,0.00026527059999999984,0.005962748100611415,3,708.37
